Title,Summary
"Amaranto","Fermin Teco, the chef at this outwardly placid, modest family-run Mexican restaurant in a former corner bodega, has a gentle way with ingredients that allows flavors to emerge decorously rather than shove themselves forward."
"The Gumbo Bros","The chef Adam Lathan grew up on the Gulf Coast of Alabama, in Creole country; his business partner, Clay Boulware, comes from Cajun central Louisiana. Former college roommates, they reunited in New York a few years ago to redress the city’s scarcity of gumbo. Here, in a space full of New Orleans-inspired touches, Mr. Lathan serves a Cajun gumbo that speaks in smoke, and a Creole style that relies on the sweetness of shrimp and blue crabs."
"Blue Smoke","Since opening in 2002, Blue Smoke has always been a few paces behind the frontrunners of New York barbecue. But when it comes to contemporary Southern cooking, Jean-Paul Bourgeois’s menu is at the head of the pack."
"Pondicheri","There isn’t another restaurant in the city quite like Pondicheri, where from breakast through dinner the flavors of India are imported into American daily life."
"The Beatrice Inn","It’s called a chophouse, but the Beatrice Inn is not a place for cautious eaters seeking refuge from the unknown. The menu, almost entirely devoted to meat, is an opportunity to take chances and eat with abandon."
"Goodburger","Those who don't like beef might dine elsewhere."
"Kappo Masa","The chef Masa Takayama, who owns this restaurant with the art dealer Larry Gagosian, is known for sushi, of course, but Kappo Masa presents a general overview of Japanese cuisine. The cost of eating at Kappo Masa is so brutally, illogically, relentlessly high, and so out of proportion to any pleasure you might get, that the prices become inescapable companions of your meal."
"The Kosher Marketplace","The Kosher Marketplace, a grocery on the Upper West Side with a nice selection of prepared foods, takes  a conventional approach to kosher cooking. Side dishes are particularly good and would make great picnic fare."
"Talde","A veteran of Vong in Chicago and Buddakan in New York before his time on “Top Chef,” Dale Talde has a well-polished knack for translating Asian dishes for popular tastes."
"Wondee Siam","This small takeout shop on Ninth Avenue offers full-flavored Thai dishes that can be terrifically satisfying."
"Jewel Bako","Open since 2001, Jewel Bako itself still has an impressive array of sushi and sashimi, some of it very fine. But a crowded field of competitors has raised the sushi bar."
"Nice Matin","Nice Matin gives the Upper West Side a splash of Provençal sunshine and a heady introduction to the cuisine of Nice."
"Bakeri","Cozy and ambitious, the bakery and sandwich shop Bakeri makes its own bread, simmers its own jam and even churns its own butter."
"Tanoreen","A lively, happy scene in Bay Ridge, set beneath clouds of lamb, mint and garlic scents combined."
"Le Restaurant","If you are an omnivore  who dreams about uncommon ingredients and pure, focused flavors, then Ryan Tate’s tasting menus are absolutely worth it."
"Burma Noodle Bar","At this makeshift stand in the Industry City Food Hall, the owner Eugene Saw offers samusas — flatter and daintier than Indian samosas — and three bowls of noodles, each better than the last, no matter what order you eat them in."
"Culture Espresso Bar","One of the few serious coffee bars in Midtown."
"The East Pole","The East Pole is the uptown spinoff of the vaguely British fashion-crowd canteen the Fat Radish, on the Lower East Side. The loveliest dishes revolve around vegetables."
"Tap Room 307","With more than 40 delicious drafts from around the world, this breezy sports bar gets packed with young suds heads in the evening. At lunchtime, though, it’s a nice, quiet spot for excellent, unusual beers."
"Ushiwakamaru","This ragtag subterranean haunt on Houston Street offers up some relative bargains, and it's a real culinary adventure that you don't find at just any sushi place."
"La Fonda Boricua","La Fonda Boricua in East Harlem is a handsome little place that offers big helpings of excellent Puerto Rican home cooking."
"Brad's","A casual spot for sandwiches, pizza and beer near New York University."
"Danji","A new-style Korean take on a Japanese izakaya."
"Bread Tribeca","Taking its cue from the Liguria region of Italy, Bread Tribeca offers food that is simply prepared and delicious."
"Battersby","At its best, the food at Battersby is thoughtful, poised, occasionally revelatory. The menu of about a dozen dishes changes as often as three times a week. Best to submit to the five- or seven-course tasting, which the chefs improvise on the spot, for half what you might pay across the river. This is fine dining in hipster’s clothing: the new new Brooklyn."
"Vosges Haut-Chocolat","A self-consciously glam chocolate spot."
"The Tangled Vine","An excellent wine bar on the Upper West Side serving Mediterranean fare."
"Margon","A decidedly shabby aisle-size Cuban restaurant, which does a thriving breakfast and lunchtime business, serving huge portions of delicious food at very low prices."
"Má Pêche","It’s nothing like the other restaurants in David Chang’s Momofuku confederation — of which Má Pêche is the largest and the first not in the East Village."
"Minton’s","The kitchen is a little unpredictable, and the success of dinner at Minton’s depends on how much you like to hear jazz musicians skittering around a tune, toying with a rhythm, tying and untying knots of harmony."
"Adrienne's Pizza Bar","Pizza purists may be happiest with Adrienne's nighttime pies, rendered with precision in a Neapolitan style."
"Café de la Esquina","This offshoot La Esquina, housed in a restored '50s diner, has a friendlier door policy than its Manhattan counterpart."
"F.O.B.","The chef, Armando Litiatco, was born in the Philippines and grew up in Daly City, Calif., which has the country’s highest concentration of people of Filipino descent. Here he serves delicate versions of classic Filipino dishes, in a gracious dining room with roomy chairs and light bulbs that rest like cockatoos in wrought-iron bird-cage lanterns. Food comes on grandmotherly, mismatched china; family members beam from framed photos."
"Estela","What takes you by surprise at Estela is Ignacio Mattos’s cooking. The food is almost familiar, but not quite, and it’s the little differences that get under your skin."
"Sea Witch","At this nautically themed pub, there’s a quaff-worthy selection of fresh and tasty American craft drafts and a menu of modest but excellent bar sandwiches"
"Grand Sichuan St. Marks","Grand Sichuan St. Marks in the East Village, one of a small chain of Grand Sichuan restaurants in Manhattan, is a good place to deepen your understanding of Sichuan cuisine."
"Home","Creative interpretations of Middle American dishes."
"Maharlika","Maharlika bills its fare as “Filipino Moderno,” which means home cooking boosted by good ingredients and classic technique."
"Los Perros Locos","Los Perros Locos translates as mad dogs, a fair description of the house specialty: hot dogs in the ornate Colombian style."
"Jo Jo","Jean-Georges Vongerichten's Jo Jo has shown, with extraordinary grace, how a restaurant can age without looking old."
"Tang Pavilion","You'll find that the many elegant Chinese customers ask for the the special Shanghai menu. Order from it, and you too can get the city's finest Shanghai cuisine, like eel with yellow chives."
"Lake Trout","Lake Trout’s name refers to a working-class Baltimore specialty that is neither lake in origin nor trout. It consists of whiting, a salt-water bottom-feeder, deep fried and flung on white bread."
"Chicks To Go","At this Peruvian pollería (rotisserie-chicken shop) a block from the beach, chicken is saturated for half a day with cumin, oregano, garlic, soy and smoky aji panca pepper, then turned over flame until the skin blisters and shimmers and the juices run mad within. Some of the meat is destined for aji gallina, a creamy stew that is all the more luxurious when it spills out of an otherwise ordinary-looking empanada; or for chaufa, from the Chinese chao fan (fried rice), even better made with quinoa grown in Peru."
"Marlow & Sons","Marlow and Sons' saloonlike dining room, done up in battered wood, mirrors and marble, is a near-perfect spot for cocktailing and oyster slurping."
"Larb Ubol","To a passer-by, there is little to distinguish Larb Ubol from the 30 or so pad-Thai joints that are its neighbors in Hell’s Kitchen. But the chef and owner, Ratchanee Sumpatboon, does not cook the Thai food most Americans know."
